score_date,CustomerID,purchases_90d,spend_90d,units_90d,active_days_90d,avg_order_value,recency_days,Country,return_units,return_rate_units,snapshot_date,propensity_score,priority_band,recommended_action,score_reason
2011-12-10,14911,89,59918.88,36722,49,673.2458426966292,1.3375,EIRE,367.0,0.009895117150637655,2011-12-10,1.0,High,Prioritise for outreach,purchased in the last 14 days; frequent 90-day buyer
2011-12-10,12748,75,18694.29,16295,39,249.2572,0.4861111111111111,United Kingdom,1106.0,0.06355956554221022,2011-12-10,0.999999999999925,High,Prioritise for outreach,purchased in the last 14 days; frequent 90-day buyer
2011-12-10,17841,43,17477.51,10272,36,406.4537209302325,1.4951388888888888,United Kingdom,92.0,0.00887688151292937,2011-12-10,0.9999999999762048,High,Prioritise for outreach,purchased in the last 14 days; frequent 90-day buyer
2011-12-10,15311,26,14451.77,8657,26,555.8373076923077,0.5,United Kingdom,64.0,0.007338607957803004,2011-12-10,0.9999999307552622,High,Prioritise for outreach,purchased in the last 14 days; frequent 90-day buyer
2011-12-10,14646,30,101408.4,69138,15,3380.2799999999997,1.4916666666666667,Netherlands,0.0,0.0,2011-12-10,0.9999985546774208,High,Prioritise for outreach,purchased in the last 14 days; frequent 90-day buyer
2011-12-10,14606,22,2592.46,1344,22,117.83909090909091,1.1888888888888889,United Kingdom,10.0,0.007385524372230428,2011-12-10,0.9999983828599851,High,Prioritise for outreach,purchased in the last 14 days; frequent 90-day buyer
2011-12-10,12971,22,3024.59,3373,19,137.48136363636365,3.486111111111111,United Kingdom,0.0,0.0,2011-12-10,0.9999926150591791,High,Prioritise for outreach,purchased in the last 14 days; frequent 90-day buyer
2011-12-10,13089,26,15501.34,7243,18,596.2053846153847,2.623611111111111,United Kingdom,11.0,0.0015164047422111938,2011-12-10,0.9999911484665419,High,Prioritise for outreach,purchased in the last 14 days; frequent 90-day buyer
2011-12-10,13408,21,10280.36,5726,14,489.54095238095243,1.6215277777777777,United Kingdom,20.0,0.003480682213713888,2011-12-10,0.9998371447177734,High,Prioritise for outreach,purchased in the last 14 days; frequent 90-day buyer
2011-12-10,13798,15,7992.710000000001,5644,15,532.8473333333334,1.3395833333333333,United Kingdom,70.0,0.012250612530626532,2011-12-10,0.9998230578531478,High,Prioritise for outreach,purchased in the last 14 days; frequent 90-day buyer
